datetime,charge_MW
2018-10-16 00:00:00,0.0
2018-10-16 00:30:00,0.0
2018-10-16 01:00:00,0.0
2018-10-16 01:30:00,0.0
2018-10-16 02:00:00,0.0
2018-10-16 02:30:00,0.0
2018-10-16 03:00:00,0.0
2018-10-16 03:30:00,0.0
2018-10-16 04:00:00,0.0
2018-10-16 04:30:00,0.0
2018-10-16 05:00:00,0.0
2018-10-16 05:30:00,0.0
2018-10-16 06:00:00,0.0
2018-10-16 06:30:00,0.0
2018-10-16 07:00:00,0.0
2018-10-16 07:30:00,0.0
2018-10-16 08:00:00,1.1650243
2018-10-16 08:30:00,1.7128997
2018-10-16 09:00:00,2.2400773
2018-10-16 09:30:00,2.5
2018-10-16 10:00:00,2.5
2018-10-16 10:30:00,1.8819987000000005
2018-10-16 11:00:00,0.0
2018-10-16 11:30:00,0.0
2018-10-16 12:00:00,0.0
2018-10-16 12:30:00,0.0
2018-10-16 13:00:00,0.0
2018-10-16 13:30:00,0.0
2018-10-16 14:00:00,0.0
2018-10-16 14:30:00,0.0
2018-10-16 15:00:00,0.0
2018-10-16 15:30:00,-0.5497010735454548
2018-10-16 16:00:00,-2.5
2018-10-16 16:30:00,-2.5
2018-10-16 17:00:00,-2.5
2018-10-16 17:30:00,-2.5
2018-10-16 18:00:00,-2.5
2018-10-16 18:30:00,-2.5
2018-10-16 19:00:00,0.0
2018-10-16 19:30:00,0.0
2018-10-16 20:00:00,0.0
2018-10-16 20:30:00,0.0
2018-10-16 21:00:00,0.0
2018-10-16 21:30:00,0.0
2018-10-16 22:00:00,0.0
2018-10-16 22:30:00,0.0
2018-10-16 23:00:00,0.0
2018-10-16 23:30:00,0.0
2018-10-17 00:00:00,0.0
2018-10-17 00:30:00,0.0
2018-10-17 01:00:00,0.0
2018-10-17 01:30:00,0.0
2018-10-17 02:00:00,0.0
2018-10-17 02:30:00,0.0
2018-10-17 03:00:00,0.0
2018-10-17 03:30:00,0.0
2018-10-17 04:00:00,0.0
2018-10-17 04:30:00,0.0
2018-10-17 05:00:00,0.0
2018-10-17 05:30:00,0.0
2018-10-17 06:00:00,0.0
2018-10-17 06:30:00,0.0
2018-10-17 07:00:00,0.0
2018-10-17 07:30:00,0.0
2018-10-17 08:00:00,1.1219976
2018-10-17 08:30:00,1.6382028999999998
2018-10-17 09:00:00,2.1686757
2018-10-17 09:30:00,0.0
2018-10-17 10:00:00,2.5
2018-10-17 10:30:00,2.5
2018-10-17 11:00:00,2.0711238000000005
2018-10-17 11:30:00,0.0
2018-10-17 12:00:00,0.0
2018-10-17 12:30:00,0.0
2018-10-17 13:00:00,0.0
2018-10-17 13:30:00,0.0
2018-10-17 14:00:00,0.0
2018-10-17 14:30:00,0.0
2018-10-17 15:00:00,0.0
2018-10-17 15:30:00,-0.6121812493636365
2018-10-17 16:00:00,-2.5
2018-10-17 16:30:00,-2.5
2018-10-17 17:00:00,-2.5
2018-10-17 17:30:00,-2.5
2018-10-17 18:00:00,-2.5
2018-10-17 18:30:00,-2.5
2018-10-17 19:00:00,0.0
2018-10-17 19:30:00,0.0
2018-10-17 20:00:00,0.0
2018-10-17 20:30:00,0.0
2018-10-17 21:00:00,0.0
2018-10-17 21:30:00,0.0
2018-10-17 22:00:00,0.0
2018-10-17 22:30:00,0.0
2018-10-17 23:00:00,0.0
2018-10-17 23:30:00,0.0
2018-10-18 00:00:00,0.0
2018-10-18 00:30:00,0.0
2018-10-18 01:00:00,0.0
2018-10-18 01:30:00,0.0
2018-10-18 02:00:00,0.0
2018-10-18 02:30:00,0.0
2018-10-18 03:00:00,0.0
2018-10-18 03:30:00,0.0
2018-10-18 04:00:00,0.0
2018-10-18 04:30:00,0.0
2018-10-18 05:00:00,0.0
2018-10-18 05:30:00,0.0
2018-10-18 06:00:00,0.0
2018-10-18 06:30:00,0.0
2018-10-18 07:00:00,0.0
2018-10-18 07:30:00,0.0
2018-10-18 08:00:00,0.0
2018-10-18 08:30:00,0.0
2018-10-18 09:00:00,0.0
2018-10-18 09:30:00,0.0
2018-10-18 10:00:00,0.13894520000000002
2018-10-18 10:30:00,0.4163217000000001
2018-10-18 11:00:00,1.2311873
2018-10-18 11:30:00,1.6477651999999998
2018-10-18 12:00:00,2.1409563
2018-10-18 12:30:00,2.4411074
2018-10-18 13:00:00,2.1415672999999997
2018-10-18 13:30:00,1.8421496000000008
2018-10-18 14:00:00,0.0
2018-10-18 14:30:00,0.0
2018-10-18 15:00:00,0.0
2018-10-18 15:30:00,-0.7718967717272727
2018-10-18 16:00:00,-2.5
2018-10-18 16:30:00,-2.5
2018-10-18 17:00:00,-2.5
2018-10-18 17:30:00,-2.5
2018-10-18 18:00:00,-2.5
2018-10-18 18:30:00,-2.5
2018-10-18 19:00:00,0.0
2018-10-18 19:30:00,0.0
2018-10-18 20:00:00,0.0
2018-10-18 20:30:00,0.0
2018-10-18 21:00:00,0.0
2018-10-18 21:30:00,0.0
2018-10-18 22:00:00,0.0
2018-10-18 22:30:00,0.0
2018-10-18 23:00:00,0.0
2018-10-18 23:30:00,0.0
2018-10-19 00:00:00,0.0
2018-10-19 00:30:00,0.0
2018-10-19 01:00:00,0.0
2018-10-19 01:30:00,0.0
2018-10-19 02:00:00,0.0
2018-10-19 02:30:00,0.0
2018-10-19 03:00:00,0.0
2018-10-19 03:30:00,0.0
2018-10-19 04:00:00,0.0
2018-10-19 04:30:00,0.0
2018-10-19 05:00:00,0.0
2018-10-19 05:30:00,0.0
2018-10-19 06:00:00,0.0
2018-10-19 06:30:00,0.0
2018-10-19 07:00:00,0.0
2018-10-19 07:30:00,0.0
2018-10-19 08:00:00,0.0
2018-10-19 08:30:00,0.06060599999999999
2018-10-19 09:00:00,0.2512776
2018-10-19 09:30:00,0.561129
2018-10-19 10:00:00,1.0555718
2018-10-19 10:30:00,0.6611298000000001
2018-10-19 11:00:00,0.8311212
2018-10-19 11:30:00,1.910909
2018-10-19 12:00:00,2.086631
2018-10-19 12:30:00,1.9509710999999998
2018-10-19 13:00:00,0.9797978999999999
2018-10-19 13:30:00,0.9999998999999999
2018-10-19 14:00:00,0.6508556999999993
2018-10-19 14:30:00,0.0
2018-10-19 15:00:00,0.0
2018-10-19 15:30:00,-1.173631387909091
2018-10-19 16:00:00,-2.5
2018-10-19 16:30:00,-2.5
2018-10-19 17:00:00,-2.5
2018-10-19 17:30:00,-2.5
2018-10-19 18:00:00,-2.5
2018-10-19 18:30:00,-2.5
2018-10-19 19:00:00,0.0
2018-10-19 19:30:00,0.0
2018-10-19 20:00:00,0.0
2018-10-19 20:30:00,0.0
2018-10-19 21:00:00,0.0
2018-10-19 21:30:00,0.0
2018-10-19 22:00:00,0.0
2018-10-19 22:30:00,0.0
2018-10-19 23:00:00,0.0
2018-10-19 23:30:00,0.0
2018-10-20 00:00:00,0.0
2018-10-20 00:30:00,0.0
2018-10-20 01:00:00,0.0
2018-10-20 01:30:00,0.0
2018-10-20 02:00:00,0.0
2018-10-20 02:30:00,0.0
2018-10-20 03:00:00,0.0
2018-10-20 03:30:00,0.0
2018-10-20 04:00:00,0.0
2018-10-20 04:30:00,0.0
2018-10-20 05:00:00,0.0
2018-10-20 05:30:00,0.0
2018-10-20 06:00:00,0.0
2018-10-20 06:30:00,0.0
2018-10-20 07:00:00,0.0
2018-10-20 07:30:00,0.24373694
2018-10-20 08:00:00,0.24915653
2018-10-20 08:30:00,0.27445966
2018-10-20 09:00:00,0.29540417
2018-10-20 09:30:00,0.3906134
2018-10-20 10:00:00,0.631195
2018-10-20 10:30:00,0.61250156
2018-10-20 11:00:00,0.9012959999999999
2018-10-20 11:30:00,1.2629331
2018-10-20 12:00:00,0.7492985
2018-10-20 12:30:00,0.5069759
2018-10-20 13:00:00,0.6219543000000001
2018-10-20 13:30:00,0.7101999
2018-10-20 14:00:00,0.8419469
2018-10-20 14:30:00,0.77843606
2018-10-20 15:00:00,0.4928218
2018-10-20 15:30:00,-0.7954397565454547
2018-10-20 16:00:00,-2.5
2018-10-20 16:30:00,-2.5
2018-10-20 17:00:00,-2.5
2018-10-20 17:30:00,-2.5
2018-10-20 18:00:00,-2.5
2018-10-20 18:30:00,0.0
2018-10-20 19:00:00,0.0
2018-10-20 19:30:00,0.0
2018-10-20 20:00:00,0.0
2018-10-20 20:30:00,0.0
2018-10-20 21:00:00,0.0
2018-10-20 21:30:00,0.0
2018-10-20 22:00:00,0.0
