,demand_MW,trend_MW,seasonal_MW,resid_MW,festivity
2017-11-03 00:00:00,2.19,3.157526041666667,-0.6944815289591842,-0.27304451270748276,0.0
2017-11-03 00:30:00,2.14,3.157526041666667,-0.7755991160403131,-0.24192692562635365,0.0
2017-11-03 01:00:00,2.0100000000000002,3.157526041666667,-0.8770872112784083,-0.27043883038825856,0.0
2017-11-03 01:30:00,1.87,3.157526041666667,-0.9556123435535407,-0.3319136981131261,0.0
2017-11-03 02:00:00,1.8599999999999999,3.157526041666667,-0.9819151158198545,-0.3156109258468125,0.0
2017-11-03 02:30:00,1.75,3.157526041666667,-1.0196995073542463,-0.38782653431242053,0.0
2017-11-03 03:00:00,1.7200000000000002,3.157526041666667,-1.0611876025923415,-0.3763384390743254,0.0
2017-11-03 03:30:00,1.6199999999999997,3.157526041666667,-1.0997114947881086,-0.43781454687855836,0.0
2017-11-03 04:00:00,1.62,3.157526041666667,-1.0841607617634175,-0.45336527990324926,0.0
2017-11-03 04:30:00,1.6,3.157526041666667,-1.0219422597792902,-0.5355837818873765,0.0
2017-11-03 05:00:00,1.69,3.157526041666667,-0.8104643607493077,-0.6570616809173591,0.0
2017-11-03 05:30:00,1.9,3.157526041666667,-0.5830617758727645,-0.6744642657939024,0.0
2017-11-03 06:00:00,2.32,3.157526041666667,-0.1923272355288493,-0.6451988061378175,0.0
2017-11-03 06:30:00,2.78,3.157526041666667,0.08470373889795853,-0.4622297805646256,0.0
2017-11-03 07:00:00,3.35,3.157526041666667,0.25877684846585974,-0.06630289013252666,0.0
2017-11-03 07:30:00,3.61,3.157526041666667,0.38470304996497806,0.06777090836835509,0.0
2017-11-03 08:00:00,3.5,3.157526041666667,0.40247586742529545,-0.06000190909196235,0.0
2017-11-03 08:30:00,3.38,3.157526041666667,0.37505853938296746,-0.15258458104963424,0.0
2017-11-03 09:00:00,3.35,3.157526041666667,0.3087499800796164,-0.11627602174628304,0.0
2017-11-03 09:30:00,3.41,3.157526041666667,0.24207091261929883,0.010403045714034498,0.0
2017-11-03 10:00:00,3.31,3.157526041666667,0.1772438347974295,-0.024769876464096452,0.0
2017-11-03 10:30:00,3.2099999999999995,3.157526041666667,0.13500645604963402,-0.08253249771630111,0.0
2017-11-03 11:00:00,3.16,3.157526041666667,0.09276714828949309,-0.09029318995615965,0.0
2017-11-03 11:30:00,3.12,3.157526041666667,0.059417969497606006,-0.09694401116427276,0.0
2017-11-03 12:00:00,2.89,3.157526041666667,0.02421500984152111,-0.29174105150818797,0.0
2017-11-03 12:30:00,3.1,3.157526041666667,-0.003954357442429604,-0.05357168422423708,0.0
2017-11-03 13:00:00,3.04,3.157526041666667,-0.02842277675459849,-0.08910326491206844,0.0
2017-11-03 13:30:00,2.83,3.157526041666667,-0.06029777675459855,-0.2672282649120681,0.0
2017-11-03 14:00:00,2.76,3.157526041666667,-0.05957549941773783,-0.33795054224892906,0.0
2017-11-03 14:30:00,2.82,3.157526041666667,-0.004405195184933658,-0.33312084648173323,0.0
2017-11-03 15:00:00,2.89,3.157526041666667,0.12113713285739422,-0.38866317452406074,0.0
2017-11-03 15:30:00,3.06,3.157526041666667,0.323716084576971,-0.42124212624363766,0.0
2017-11-03 16:00:00,3.36,3.157526041666667,0.6211061308732672,-0.418632172539934,0.0
2017-11-03 16:30:00,3.8900000000000006,3.157526041666667,0.8555344542859658,-0.12306049595263246,0.0
2017-11-03 17:00:00,4.48,3.157526041666667,1.0851566434394049,0.2373173148939287,0.0
2017-11-03 17:30:00,4.59,3.157526041666667,1.1621917514640965,0.27028220686923676,0.0
2017-11-03 18:00:00,4.51,3.157526041666667,1.1740430521695635,0.17843090616376944,0.0
2017-11-03 18:30:00,4.4,3.157526041666667,1.0703401751854367,0.17213378314789685,0.0
2017-11-03 19:00:00,4.2,3.157526041666667,0.933303689294784,0.10917026903854943,0.0
2017-11-03 19:30:00,4.0,3.157526041666667,0.804414387046107,0.038059571287226035,0.0
2017-11-03 20:00:00,3.75,3.157526041666667,0.6407110967021913,-0.04823713836885801,0.0
2017-11-03 20:30:00,3.58,3.157526041666667,0.44441521376568327,-0.021941255432349926,0.0
2017-11-03 21:00:00,3.32,3.157526041666667,0.2577489604588054,-0.09527500212547224,0.0
2017-11-03 21:30:00,3.02,3.157526041666667,0.019973525053161145,-0.157499566719828,0.0
2017-11-03 22:00:00,2.8,3.157526041666667,-0.23483743173696206,-0.1226886099297051,0.0
2017-11-03 22:30:00,2.49,3.157526041666667,-0.4877976389680027,-0.17972840269866408,0.0
2017-11-03 23:00:00,2.2899999999999996,3.157526041666667,-0.6515005159521297,-0.21602552571453737,0.0
2017-11-03 23:30:00,2.08,3.157526041666667,-0.8077963988886377,-0.2697296427780289,0.0
2017-11-04 00:00:00,2.33,3.157526041666667,-0.6529819974336112,-0.17454404423305547,0.0
2017-11-04 00:30:00,2.2100000000000004,3.157526041666667,-0.7348357782978086,-0.2126902633688581,0.0
2017-11-04 01:00:00,2.03,3.157526041666667,-0.8496536244177384,-0.27787241724892864,0.0
2017-11-04 01:30:00,1.9,3.157526041666667,-0.941879842451248,-0.3156461992154189,0.0
2017-11-04 02:00:00,1.85,3.157526041666667,-0.9663288338533641,-0.34119720781330276,0.0
2017-11-04 02:30:00,1.7400000000000002,3.157526041666667,-1.0155916755641226,-0.40193436610254407,0.0
2017-11-04 03:00:00,1.6699999999999995,3.157526041666667,-1.057446283147897,-0.4300797585187701,0.0
2017-11-04 03:30:00,1.6100000000000003,3.157526041666667,-1.101892932177879,-0.44563310948878776,0.0
2017-11-04 04:00:00,1.6100000000000003,3.157526041666667,-1.1204122774159746,-0.4271137642506919,0.0
2017-11-04 04:30:00,1.5299999999999998,3.157526041666667,-1.1167105027246162,-0.5108155389420506,0.0
